"","actor","subject","bin","n.aggXbin"
"1","BBB","BOB",0,31
"2","BBB","BOB",1,35
"3","BBB","BOB",5,5
"4","BBB","BOB",6,1
"5","BBB","BOB",7,2
"6","BBB","BOB",8,2
"7","BBB","GGG",0,3
"8","BBB","GGG",1,7
"9","BBB","GGG",4,8
"10","BBB","GGG",5,2
"11","BBB","GGG",6,2
"12","BBB","GGG",7,4
"13","BBB","GGG",8,4
"14","BBB","GGG",9,5
"15","BBB","GGG",10,6
"16","BBB","GGG",11,4
"17","BBB","GGG",12,6
"18","BBB","GGO",0,10
"19","BBB","GGO",1,9
"20","BBB","GGO",4,1
"21","BBB","GGO",5,1
"22","BBB","GGO",6,1
"23","BBB","GGO",7,9
"24","BBB","GGO",8,13
"25","BBB","GGO",9,6
"26","BBB","GGO",10,4
"27","BBB","GGO",11,10
"28","BBB","GGO",12,12
"29","BBB","GOO",0,10
"30","BBB","GOO",1,4
"31","BBB","GOO",4,1
"32","BBB","GOO",7,1
"33","BBB","GOO",9,1
"34","BBB","GOP",0,18
"35","BBB","GOP",1,12
"36","BBB","GOP",4,1
"37","BBB","GOP",5,1
"38","BBB","GOP",7,13
"39","BBB","GOP",8,12
"40","BBB","GOP",9,3
"41","BBB","GOP",10,8
"42","BBB","GOP",11,17
"43","BBB","GOP",12,14
"44","BBB","GPG",0,11
"45","BBB","GPG",1,8
"46","BBB","GPG",8,6
"47","BBB","GPG",9,11
"48","BBB","GPG",10,6
"49","BBB","GPG",11,7
"50","BBB","GPG",12,9
"51","BBB","OBB",0,5
"52","BBB","OBB",1,19
"53","BBB","OBB",4,3
"54","BBB","OBB",5,1
"55","BBB","OBB",7,1
"56","BBB","OBB",9,2
"57","BBB","OBB",11,1
"58","BBB","OGO",0,6
"59","BBB","OGO",1,10
"60","BBB","OGO",8,1
"61","BBB","OGO",9,2
"62","BBB","OOO",0,10
"63","BBB","OOO",1,13
"64","BBB","OOO",4,1
"65","BBB","OOO",5,1
"66","BBB","OOO",6,16
"67","BBB","OOO",7,17
"68","BBB","OOO",8,8
"69","BBB","OOO",9,13
"70","BBB","OOO",10,9
"71","BBB","OOO",11,11
"72","BBB","OOO",12,14
"73","BBB","OOP",0,22
"74","BBB","OOP",1,19
"75","BBB","OOP",5,5
"76","BBB","OOP",6,5
"77","BBB","OOP",7,6
"78","BBB","OOP",8,8
"79","BBB","OOP",9,7
"80","BBB","OOP",10,8
"81","BBB","OOP",11,5
"82","BBB","OOP",12,7
"83","BBB","OPP",0,54
"84","BBB","OPP",1,44
"85","BBB","OPP",4,1
"86","BBB","OPP",5,1
"87","BBB","OPP",12,29
"88","BBB","PBB",0,13
"89","BBB","PBB",1,11
"90","BBB","PBB",4,1
"91","BBB","PBB",5,3
"92","BBB","PBB",6,6
"93","BBB","PBB",7,13
"94","BBB","PBB",8,9
"95","BBB","PBB",9,13
"96","BBB","PBB",10,5
"97","BBB","PBB",11,7
"98","BBB","PBB",12,6
"99","BBB","PBO",0,7
"100","BBB","PBO",1,4
"101","BBB","PBO",4,1
"102","BBB","PBO",5,6
"103","BBB","PGG",0,27
"104","BBB","PGG",1,21
"105","BBB","PGG",4,2
"106","BBB","PGG",5,3
"107","BBB","PGG",6,7
"108","BBB","PGG",7,8
"109","BBB","PGG",8,5
"110","BBB","PGG",9,14
"111","BBB","PGG",10,6
"112","BBB","PGG",11,12
"113","BBB","PGG",12,11
"114","BBB","POO",0,5
"115","BBB","POO",1,12
"116","BBB","POO",6,246
"117","BBB","POO",7,65
"118","BBB","POO",8,64
"119","BBB","POO",9,30
"120","BBB","POO",10,29
"121","BBB","POO",11,26
"122","BBB","POO",12,44
"123","BBB","POP",0,2
"124","BBB","POP",10,1
"125","BBB","PPB",0,5
"126","BBB","PPB",1,6
"127","BBB","PPB",5,3
"128","BBB","PPB",9,2
"129","BBB","PPB",11,1
"130","BBB","PPO",0,2
"131","BBB","PPO",1,17
"132","BBB","PPO",4,1
"133","BBB","PPO",6,5
"134","BBB","PPO",7,4
"135","BBB","PPO",8,4
"136","BBB","PPO",9,3
"137","BBB","PPO",10,6
"138","BBB","PPO",11,13
"139","BBB","PPO",12,7
"140","BBB","PPP",0,12
"141","BBB","PPP",1,3
"142","BBB","PPP",6,2
"143","BBB","PPP",7,10
"144","BBB","PPP",8,8
"145","BBB","PPP",9,8
"146","BBB","PPP",10,3
"147","BBB","PPP",11,12
"148","BBB","PPP",12,12
"149","BOB","BBB",4,22
"150","BOB","BBB",5,20
"151","BOB","BBB",6,13
"152","BOB","BBB",7,10
"153","BOB","BBB",8,14
"154","BOB","BBB",9,8
"155","BOB","BBB",10,11
"156","BOB","BBB",11,9
"157","BOB","BBB",12,19
"158","BOB","GGG",0,4
"159","BOB","GGG",1,21
"160","BOB","GGG",2,19
"161","BOB","GGG",3,8
"162","BOB","GGG",4,4
"163","BOB","GGG",5,1
"164","BOB","GGG",6,3
"165","BOB","GGG",7,8
"166","BOB","GGG",8,2
"167","BOB","GGG",9,3
"168","BOB","GGG",10,1
"169","BOB","GGG",11,5
"170","BOB","GGG",12,7
"171","BOB","GGO",2,1
"172","BOB","GGO",7,1
"173","BOB","GGO",8,2
"174","BOB","GGO",9,1
"175","BOB","GGO",11,1
"176","BOB","GOO",0,9
"177","BOB","GOO",1,11
"178","BOB","GOO",3,4
"179","BOB","GOO",4,4
"180","BOB","GOO",5,3
"181","BOB","GOO",6,5
"182","BOB","GOO",7,4
"183","BOB","GOO",9,4
"184","BOB","GOO",12,11
"185","BOB","GOP",0,1
"186","BOB","GOP",3,1
"187","BOB","GOP",4,1
"188","BOB","GOP",10,1
"189","BOB","GPG",8,1
"190","BOB","GPG",12,1
"191","BOB","OGO",1,2
"192","BOB","OGO",4,1
"193","BOB","OGO",8,1
"194","BOB","OGO",9,1
"195","BOB","OGO",11,1
"196","BOB","OOO",0,35
"197","BOB","OOO",1,31
"198","BOB","OOO",2,12
"199","BOB","OOO",3,14
"200","BOB","OOO",4,15
"201","BOB","OOO",5,12
"202","BOB","OOO",6,6
"203","BOB","OOO",7,13
"204","BOB","OOO",8,8
"205","BOB","OOO",9,18
"206","BOB","OOO",10,7
"207","BOB","OOO",11,26
"208","BOB","OOO",12,16
"209","BOB","OOP",0,4
"210","BOB","OOP",1,1
"211","BOB","OOP",2,1
"212","BOB","OOP",3,3
"213","BOB","OOP",4,6
"214","BOB","OOP",5,1
"215","BOB","OOP",6,3
"216","BOB","OOP",7,1
"217","BOB","OOP",8,3
"218","BOB","OOP",9,1
"219","BOB","OOP",10,2
"220","BOB","OOP",11,1
"221","BOB","OPP",0,2
"222","BOB","OPP",12,60
"223","BOB","PBB",0,14
"224","BOB","PBB",1,22
"225","BOB","PBB",2,7
"226","BOB","PBB",3,3
"227","BOB","PBB",4,7
"228","BOB","PBB",5,4
"229","BOB","PBB",6,2
"230","BOB","PBB",7,3
"231","BOB","PBB",8,4
"232","BOB","PBB",9,15
"233","BOB","PBB",11,14
"234","BOB","PBB",12,14
"235","BOB","PBO",0,13
"236","BOB","PBO",1,10
"237","BOB","PBO",2,2
"238","BOB","PBO",3,7
"239","BOB","PBO",4,2
"240","BOB","PBO",5,1
"241","BOB","PBO",6,3
"242","BOB","PBO",9,1
"243","BOB","PBO",11,1
"244","BOB","PBO",12,14
"245","BOB","PGG",0,18
"246","BOB","PGG",1,20
"247","BOB","PGG",2,15
"248","BOB","PGG",3,13
"249","BOB","PGG",4,18
"250","BOB","PGG",5,5
"251","BOB","PGG",6,1
"252","BOB","PGG",7,8
"253","BOB","PGG",8,7
"254","BOB","PGG",9,14
"255","BOB","PGG",10,6
"256","BOB","PGG",11,18
"257","BOB","PGG",12,19
"258","BOB","POO",0,2
"259","BOB","POO",2,2
"260","BOB","POO",3,6
"261","BOB","POO",4,17
"262","BOB","POO",5,15
"263","BOB","POO",6,6
"264","BOB","POO",7,15
"265","BOB","POO",8,10
"266","BOB","POO",9,11
"267","BOB","POO",10,6
"268","BOB","POO",11,5
"269","BOB","POO",12,10
"270","BOB","POP",1,1
"271","BOB","POP",2,6
"272","BOB","POP",4,3
"273","BOB","POP",8,1
"274","BOB","PPB",0,12
"275","BOB","PPB",1,1
"276","BOB","PPB",2,1
"277","BOB","PPB",3,6
"278","BOB","PPB",4,5
"279","BOB","PPB",5,6
"280","BOB","PPB",6,6
"281","BOB","PPB",7,7
"282","BOB","PPB",8,12
"283","BOB","PPB",9,7
"284","BOB","PPB",10,5
"285","BOB","PPB",11,15
"286","BOB","PPB",12,13
"287","BOB","PPO",0,2
"288","BOB","PPO",1,10
"289","BOB","PPO",2,6
"290","BOB","PPO",3,4
"291","BOB","PPO",4,19
"292","BOB","PPO",5,2
"293","BOB","PPO",6,8
"294","BOB","PPO",7,3
"295","BOB","PPO",8,1
"296","BOB","PPO",11,7
"297","BOB","PPO",12,14
"298","BOB","PPP",0,2
"299","BOB","PPP",1,3
"300","BOB","PPP",3,1
"301","BOB","PPP",4,3
"302","BOB","PPP",6,1
"303","GGG","BBB",4,1
"304","GGG","BBB",5,1
"305","GGG","BBB",6,3
"306","GGG","BBB",9,2
"307","GGG","BOB",2,1
"308","GGG","BOB",3,1
"309","GGG","BOB",4,2
"310","GGG","BOB",5,10
"311","GGG","BOB",6,8
"312","GGG","BOB",7,6
"313","GGG","BOB",8,3
"314","GGG","BOB",9,7
"315","GGG","BOB",10,5
"316","GGG","GGO",6,2
"317","GGG","GGO",9,1
"318","GGG","GOO",0,2
"319","GGG","GOP",6,3
"320","GGG","GOP",10,1
"321","GGG","GPG",8,1
"322","GGG","OBB",8,1
"323","GGG","OBB",9,1
"324","GGG","OGO",12,1
"325","GGG","OOO",5,2
"326","GGG","OOO",6,1
"327","GGG","OOO",9,1
"328","GGG","OOO",10,1
"329","GGG","OOP",2,7
"330","GGG","OOP",3,2
"331","GGG","OOP",4,14
"332","GGG","OOP",5,12
"333","GGG","OOP",6,13
"334","GGG","OOP",7,4
"335","GGG","OOP",8,6
"336","GGG","OOP",9,2
"337","GGG","OOP",10,1
"338","GGG","OOP",11,1
"339","GGG","OOP",12,2
"340","GGG","OPP",0,1
"341","GGG","OPP",8,1
"342","GGG","OPP",9,1
"343","GGG","OPP",12,6
"344","GGG","PBB",6,1
"345","GGG","PBB",11,3
"346","GGG","PGG",0,3
"347","GGG","PGG",1,1
"348","GGG","PGG",2,1
"349","GGG","POO",9,1
"350","GGG","POO",10,1
"351","GGG","POO",11,1
"352","GGG","POP",7,1
"353","GGG","PPB",6,1
"354","GGG","PPB",11,2
"355","GGG","PPO",4,3
"356","GGG","PPO",12,3
"357","GGG","PPP",1,1
"358","GGG","PPP",2,2
"359","GGG","PPP",5,9
"360","GGG","PPP",6,2
"361","GGG","PPP",7,1
"362","GGG","PPP",8,1
"363","GGG","PPP",9,1
"364","GGG","PPP",10,5
"365","GGG","PPP",11,1
"366","GGG","PPP",12,1
"367","GGO","BBB",4,20
"368","GGO","BBB",5,7
"369","GGO","BBB",6,105
"370","GGO","BBB",7,1
"371","GGO","BBB",9,1
"372","GGO","BOB",0,10
"373","GGO","BOB",1,9
"374","GGO","BOB",2,4
"375","GGO","BOB",3,18
"376","GGO","BOB",4,10
"377","GGO","BOB",5,19
"378","GGO","BOB",6,24
"379","GGO","BOB",7,14
"380","GGO","BOB",8,3
"381","GGO","BOB",9,5
"382","GGO","BOB",10,11
"383","GGO","BOB",11,15
"384","GGO","BOB",12,10
"385","GGO","GGG",0,2
"386","GGO","GGG",1,5
"387","GGO","GGG",2,3
"388","GGO","GGG",3,3
"389","GGO","GGG",4,2
"390","GGO","GGG",5,6
"391","GGO","GGG",6,7
"392","GGO","GGG",7,2
"393","GGO","GGG",8,2
"394","GGO","GGG",9,3
"395","GGO","GGG",10,3
"396","GGO","GGG",11,2
"397","GGO","GOO",0,2
"398","GGO","GOO",1,4
"399","GGO","GOO",2,2
"400","GGO","GOO",3,5
"401","GGO","GOO",4,2
"402","GGO","GOO",5,1
"403","GGO","GOO",6,5
"404","GGO","GOO",7,7
"405","GGO","GOO",9,6
"406","GGO","GOO",10,1
"407","GGO","GOO",11,4
"408","GGO","GOP",0,2
"409","GGO","GOP",1,2
"410","GGO","GOP",2,2
"411","GGO","GOP",3,3
"412","GGO","GOP",4,7
"413","GGO","GOP",5,1
"414","GGO","GOP",6,4
"415","GGO","GOP",9,1
"416","GGO","GOP",11,6
"417","GGO","GOP",12,1
"418","GGO","OBB",0,2
"419","GGO","OBB",1,6
"420","GGO","OBB",2,4
"421","GGO","OBB",3,5
"422","GGO","OBB",4,4
"423","GGO","OBB",5,2
"424","GGO","OBB",6,20
"425","GGO","OBB",8,4
"426","GGO","OBB",9,9
"427","GGO","OBB",10,2
"428","GGO","OBB",11,10
"429","GGO","OBB",12,5
"430","GGO","OGO",0,8
"431","GGO","OGO",1,3
"432","GGO","OGO",2,5
"433","GGO","OGO",3,6
"434","GGO","OGO",4,2
"435","GGO","OGO",6,22
"436","GGO","OGO",7,6
"437","GGO","OGO",8,6
"438","GGO","OGO",9,12
"439","GGO","OGO",11,9
"440","GGO","OGO",12,6
"441","GGO","OOO",4,2
"442","GGO","OOO",6,1
"443","GGO","OOP",0,4
"444","GGO","OOP",1,4
"445","GGO","OOP",5,1
"446","GGO","OOP",6,1
"447","GGO","OOP",11,1
"448","GGO","OOP",12,2
"449","GGO","OPP",0,2
"450","GGO","OPP",1,4
"451","GGO","OPP",2,5
"452","GGO","OPP",3,9
"453","GGO","OPP",4,5
"454","GGO","OPP",5,6
"455","GGO","OPP",6,5
"456","GGO","OPP",7,8
"457","GGO","OPP",12,11
"458","GGO","PBB",0,1
"459","GGO","PBB",4,1
"460","GGO","PBB",6,1
"461","GGO","PBB",11,1
"462","GGO","PBO",0,5
"463","GGO","PBO",1,4
"464","GGO","PBO",2,4
"465","GGO","PBO",3,4
"466","GGO","PBO",4,4
"467","GGO","PBO",5,3
"468","GGO","PBO",6,6
"469","GGO","PBO",7,1
"470","GGO","PBO",8,1
"471","GGO","PBO",9,2
"472","GGO","PBO",10,1
"473","GGO","PBO",11,8
"474","GGO","PBO",12,3
"475","GGO","PGG",0,7
"476","GGO","PGG",1,16
"477","GGO","PGG",2,18
"478","GGO","PGG",3,12
"479","GGO","PGG",4,5
"480","GGO","PGG",5,6
"481","GGO","PGG",6,19
"482","GGO","PGG",7,5
"483","GGO","PGG",9,7
"484","GGO","PGG",11,3
"485","GGO","PGG",12,3
"486","GGO","POO",0,6
"487","GGO","POO",1,5
"488","GGO","POO",2,6
"489","GGO","POO",3,3
"490","GGO","POO",4,5
"491","GGO","POO",5,3
"492","GGO","POO",6,17
"493","GGO","POO",7,4
"494","GGO","POO",11,11
"495","GGO","POO",12,2
"496","GGO","POP",2,1
"497","GGO","POP",3,19
"498","GGO","POP",4,3
"499","GGO","POP",5,17
"500","GGO","POP",6,15
"501","GGO","POP",7,10
"502","GGO","POP",9,2
"503","GGO","POP",10,3
"504","GGO","POP",11,11
"505","GGO","POP",12,11
"506","GGO","PPB",0,3
"507","GGO","PPB",1,5
"508","GGO","PPB",2,4
"509","GGO","PPB",3,5
"510","GGO","PPB",4,2
"511","GGO","PPB",5,4
"512","GGO","PPB",6,121
"513","GGO","PPB",7,1
"514","GGO","PPB",8,1
"515","GGO","PPB",11,10
"516","GGO","PPB",12,4
"517","GGO","PPO",0,7
"518","GGO","PPO",1,7
"519","GGO","PPO",2,4
"520","GGO","PPO",3,5
"521","GGO","PPO",4,5
"522","GGO","PPO",6,3
"523","GGO","PPO",7,5
"524","GGO","PPO",8,1
"525","GGO","PPO",9,4
"526","GGO","PPO",11,11
"527","GGO","PPO",12,4
"528","GGO","PPP",0,3
"529","GGO","PPP",1,2
"530","GGO","PPP",2,2
"531","GGO","PPP",3,5
"532","GGO","PPP",5,1
"533","GGO","PPP",6,2
"534","GGO","PPP",7,4
"535","GGO","PPP",8,1
"536","GGO","PPP",10,1
"537","GGO","PPP",11,2
"538","GGO","PPP",12,6
"539","GOO","BBB",4,26
"540","GOO","BBB",5,13
"541","GOO","BBB",6,28
"542","GOO","BBB",7,44
"543","GOO","BBB",8,16
"544","GOO","BBB",9,21
"545","GOO","BBB",10,18
"546","GOO","BBB",11,29
"547","GOO","BBB",12,22
"548","GOO","BOB",0,1
"549","GOO","BOB",2,10
"550","GOO","BOB",3,7
"551","GOO","BOB",4,11
"552","GOO","BOB",5,15
"553","GOO","BOB",6,10
"554","GOO","BOB",7,4
"555","GOO","BOB",8,1
"556","GOO","BOB",9,4
"557","GOO","BOB",10,13
"558","GOO","BOB",11,17
"559","GOO","BOB",12,8
"560","GOO","GGG",0,1
"561","GOO","GGG",1,2
"562","GOO","GGG",2,1
"563","GOO","GGG",3,4
"564","GOO","GGG",4,2
"565","GOO","GGG",5,1
"566","GOO","GGG",6,1
"567","GOO","GGG",7,1
"568","GOO","GGG",8,1
"569","GOO","GGG",9,2
"570","GOO","GGG",10,1
"571","GOO","GGG",11,3
"572","GOO","GGG",12,1
"573","GOO","GGO",2,1
"574","GOO","GGO",4,1
"575","GOO","GGO",10,1
"576","GOO","GOP",0,51
"577","GOO","GOP",1,32
"578","GOO","GOP",2,14
"579","GOO","GOP",3,37
"580","GOO","GOP",4,41
"581","GOO","GOP",5,18
"582","GOO","GOP",6,16
"583","GOO","GOP",7,24
"584","GOO","GOP",8,9
"585","GOO","GOP",9,15
"586","GOO","GOP",10,8
"587","GOO","GOP",11,25
"588","GOO","GOP",12,18
"589","GOO","GPG",9,1
"590","GOO","OBB",0,12
"591","GOO","OBB",1,8
"592","GOO","OBB",2,9
"593","GOO","OBB",3,4
"594","GOO","OBB",4,16
"595","GOO","OBB",5,5
"596","GOO","OBB",6,19
"597","GOO","OBB",7,29
"598","GOO","OBB",8,8
"599","GOO","OBB",9,16
"600","GOO","OBB",10,10
"601","GOO","OBB",11,8
"602","GOO","OBB",12,28
"603","GOO","OGO",0,4
"604","GOO","OGO",1,7
"605","GOO","OGO",2,6
"606","GOO","OGO",3,2
"607","GOO","OGO",4,4
"608","GOO","OGO",5,7
"609","GOO","OGO",6,13
"610","GOO","OGO",7,12
"611","GOO","OGO",8,11
"612","GOO","OGO",9,19
"613","GOO","OGO",10,13
"614","GOO","OGO",11,18
"615","GOO","OGO",12,32
"616","GOO","OOO",0,1
"617","GOO","OOO",1,1
"618","GOO","OOO",3,1
"619","GOO","OOO",4,1
"620","GOO","OOO",7,1
"621","GOO","OOO",11,2
"622","GOO","OOP",0,1
"623","GOO","OOP",4,2
"624","GOO","OOP",5,1
"625","GOO","OOP",9,1
"626","GOO","OPP",0,1
"627","GOO","OPP",7,1
"628","GOO","OPP",12,4
"629","GOO","PBB",2,1
"630","GOO","PBB",4,1
"631","GOO","PBB",7,2
"632","GOO","PBO",1,1
"633","GOO","PBO",2,2
"634","GOO","PBO",3,1
"635","GOO","PBO",9,1
"636","GOO","PBO",12,1
"637","GOO","PGG",0,4
"638","GOO","PGG",1,21
"639","GOO","PGG",2,12
"640","GOO","PGG",3,9
"641","GOO","PGG",4,5
"642","GOO","PGG",5,7
"643","GOO","PGG",6,6
"644","GOO","PGG",7,13
"645","GOO","PGG",9,3
"646","GOO","PGG",10,2
"647","GOO","PGG",11,13
"648","GOO","PGG",12,3
"649","GOO","POO",0,8
"650","GOO","POO",1,7
"651","GOO","POO",2,5
"652","GOO","POO",3,3
"653","GOO","POO",4,7
"654","GOO","POO",5,4
"655","GOO","POO",6,14
"656","GOO","POO",7,11
"657","GOO","POO",8,2
"658","GOO","POO",9,9
"659","GOO","POO",10,2
"660","GOO","POO",11,15
"661","GOO","POO",12,8
"662","GOO","POP",3,2
"663","GOO","POP",6,1
"664","GOO","PPB",0,5
"665","GOO","PPB",1,8
"666","GOO","PPB",2,11
"667","GOO","PPB",3,10
"668","GOO","PPB",4,4
"669","GOO","PPB",5,2
"670","GOO","PPB",6,18
"671","GOO","PPB",7,33
"672","GOO","PPB",8,14
"673","GOO","PPB",9,20
"674","GOO","PPB",10,12
"675","GOO","PPB",11,23
"676","GOO","PPB",12,14
"677","GOO","PPO",0,1
"678","GOO","PPO",1,8
"679","GOO","PPO",2,4
"680","GOO","PPO",3,3
"681","GOO","PPO",4,4
"682","GOO","PPO",5,5
"683","GOO","PPO",6,3
"684","GOO","PPO",7,1
"685","GOO","PPO",8,1
"686","GOO","PPO",9,1
"687","GOO","PPO",10,3
"688","GOO","PPO",11,7
"689","GOO","PPO",12,3
"690","GOO","PPP",0,34
"691","GOO","PPP",1,29
"692","GOO","PPP",2,16
"693","GOO","PPP",3,21
"694","GOO","PPP",4,23
"695","GOO","PPP",5,13
"696","GOO","PPP",6,9
"697","GOO","PPP",7,16
"698","GOO","PPP",8,8
"699","GOO","PPP",9,3
"700","GOO","PPP",10,7
"701","GOO","PPP",11,30
"702","GOO","PPP",12,11
"703","GOP","BBB",4,11
"704","GOP","BBB",5,6
"705","GOP","BBB",6,6
"706","GOP","BBB",7,1
"707","GOP","BBB",10,1
"708","GOP","BBB",11,1
"709","GOP","BBB",12,1
"710","GOP","BOB",0,21
"711","GOP","BOB",1,28
"712","GOP","BOB",2,4
"713","GOP","BOB",3,13
"714","GOP","BOB",4,12
"715","GOP","BOB",5,3
"716","GOP","BOB",6,1
"717","GOP","BOB",7,6
"718","GOP","BOB",8,5
"719","GOP","BOB",10,1
"720","GOP","BOB",11,12
"721","GOP","BOB",12,26
"722","GOP","GGG",0,6
"723","GOP","GGG",1,6
"724","GOP","GGG",2,4
"725","GOP","GGG",3,11
"726","GOP","GGG",4,5
"727","GOP","GGG",5,5
"728","GOP","GGG",6,1
"729","GOP","GGG",7,5
"730","GOP","GGG",8,2
"731","GOP","GGG",9,3
"732","GOP","GGG",10,1
"733","GOP","GGG",11,5
"734","GOP","GGG",12,1
"735","GOP","GGO",1,2
"736","GOP","GGO",9,1
"737","GOP","GOO",0,2
"738","GOP","GOO",1,1
"739","GOP","GOO",8,1
"740","GOP","GOO",9,1
"741","GOP","GOO",11,1
"742","GOP","GPG",4,1
"743","GOP","GPG",9,1
"744","GOP","OBB",0,21
"745","GOP","OBB",1,15
"746","GOP","OBB",2,19
"747","GOP","OBB",3,35
"748","GOP","OBB",4,20
"749","GOP","OBB",5,14
"750","GOP","OBB",6,3
"751","GOP","OBB",7,12
"752","GOP","OBB",8,24
"753","GOP","OBB",9,2
"754","GOP","OBB",10,4
"755","GOP","OBB",11,15
"756","GOP","OBB",12,9
"757","GOP","OGO",0,13
