"","group","bin","n.agg","n.dyads","n.actors","n.subjects","hours_obs","personhours","birds","ag_bird","ag_bird_obs","ag_person_obs","mean","sd","n","se"
"1","2022-1",1,2175,72,10,11,21.75,38.4724637666667,11,197.727272727273,9.09090909090909,5.13944918959382,8.83286226971473,2.95319687383085,26,0.579169557197874
"2","2022-1",2,1725,65,11,11,16.0666666666667,29.1833333333333,11,156.818181818182,9.76046774801961,5.37355277503764,8.83286226971473,2.95319687383085,26,0.579169557197874
"3","2022-1",3,1245,49,9,9,8.5,14.2,10,124.5,14.6470588235294,8.76760563380282,8.83286226971473,2.95319687383085,26,0.579169557197874
"4","2022-1",4,1068,50,10,8,18.8333333333333,34.1666666666667,10,106.8,5.67079646017699,3.12585365853659,8.83286226971473,2.95319687383085,26,0.579169557197874
"5","2022-1",5,1500,69,11,11,17.9,33.5166666666667,11,136.363636363636,7.61808024377857,4.06853216400705,8.83286226971473,2.95319687383085,26,0.579169557197874
"6","2022-1",6,3142,70,11,11,18.4833333333333,34.6,11,285.636363636364,15.4537257152226,8.25538623226485,8.83286226971473,2.95319687383085,26,0.579169557197874
"7","2022-1",7,1458,55,10,10,18.7833333333333,34.0833333333333,10,145.8,7.76220053238687,4.27775061124694,8.83286226971473,2.95319687383085,26,0.579169557197874
"8","2022-1",8,1505,48,9,9,19.2,26.8833333333333,10,150.5,7.83854166666667,5.59826410415375,8.83286226971473,2.95319687383085,26,0.579169557197874
"9","2022-1",9,1817,76,11,11,19.2166666666667,33.1,11,165.181818181818,8.59575810139557,4.99038725624828,8.83286226971473,2.95319687383085,26,0.579169557197874
"10","2022-1",10,1472,62,11,11,19.55,29.9833333333333,11,133.818181818182,6.84491978609626,4.46308555257972,8.83286226971473,2.95319687383085,26,0.579169557197874
"11","2022-1",11,1171,50,9,10,16.2666666666667,29.5166666666667,10,117.1,7.19877049180328,3.96725014116318,8.83286226971473,2.95319687383085,26,0.579169557197874
"12","2022-1",12,806,49,9,10,9.76666666666667,17.95,10,80.6,8.25255972696246,4.49025069637883,8.83286226971473,2.95319687383085,26,0.579169557197874
"13","2022-1",13,1503,61,11,11,14.45,25.75,11,136.636363636364,9.45580371185907,5.306266548985,8.83286226971473,2.95319687383085,26,0.579169557197874
"14","2022-1",14,1067,60,10,11,17.0666666666667,24.95,11,97,5.68359375,3.8877755511022,8.83286226971473,2.95319687383085,26,0.579169557197874
"15","2022-1",15,2098,57,10,9,19.2333333333333,35.1057971,10,209.8,10.9081455805893,5.97622094728053,8.83286226971473,2.95319687383085,26,0.579169557197874
"16","2022-1",16,1899,55,10,10,20.3666666666667,37.4166666666667,10,189.9,9.3240589198036,5.07527839643653,8.83286226971473,2.95319687383085,26,0.579169557197874
"17","2022-1",17,3366,76,11,11,19.6833333333333,35.7333333333333,11,306,15.5461473327688,8.5634328358209,8.83286226971473,2.95319687383085,26,0.579169557197874
"18","2022-1",18,2595,66,10,11,19,33.5833333333333,11,235.909090909091,12.4162679425837,7.0245883149109,8.83286226971473,2.95319687383085,26,0.579169557197874
"19","2022-1",19,1623,56,10,10,16.7,30.3224637666667,10,162.3,9.7185628742515,5.35246743961536,8.83286226971473,2.95319687383085,26,0.579169557197874
"20","2022-1",20,1668,51,10,9,17.7166666666667,32.3557971,10,166.8,9.41486359360301,5.15518129516271,8.83286226971473,2.95319687383085,26,0.579169557197874
"21","2022-1",21,1328,64,11,11,19.9833333333333,35.3666666666667,11,120.727272727273,6.04139813480931,3.41358923828292,8.83286226971473,2.95319687383085,26,0.579169557197874
"22","2022-1",22,924,60,10,10,20.3,37.3282608666667,11,84,4.13793103448276,2.25030574823833,8.83286226971473,2.95319687383085,26,0.579169557197874
"23","2022-1",23,1370,58,9,10,16.2333333333333,30.2166666666667,10,137,8.4394250513347,4.53392167677882,8.83286226971473,2.95319687383085,26,0.579169557197874
"24","2022-1",24,1373,56,10,10,21.2833333333333,26.2166666666667,10,137.3,6.45105716523101,5.23712650985378,8.83286226971473,2.95319687383085,26,0.579169557197874
"25","2022-1",25,1443,64,11,10,18.9,30.9557971,11,131.181818181818,6.94083694083694,4.23771411080279,8.83286226971473,2.95319687383085,26,0.579169557197874
"26","2022-1",26,939,55,10,10,13.25,24.4333333333333,11,85.3636363636364,6.44253859348199,3.49373682252263,8.83286226971473,2.95319687383085,26,0.579169557197874
"27","2022-2",1,2050,75,11,11,21.75,38.4724637666667,11,186.363636363636,8.56844305120167,4.84407854651372,9.01191807538703,3.4020842311082,26,0.6672036108195
"28","2022-2",2,1692,61,11,11,16.0666666666667,29.1833333333333,11,153.818181818182,9.57374575631837,5.27075437412388,9.01191807538703,3.4020842311082,26,0.6672036108195
"29","2022-2",3,1716,62,9,11,8.5,14.2,10,171.6,20.1882352941176,12.0845070422535,9.01191807538703,3.4020842311082,26,0.6672036108195
"30","2022-2",4,1071,52,10,9,18.8333333333333,34.1666666666667,10,107.1,5.68672566371681,3.13463414634146,9.01191807538703,3.4020842311082,26,0.6672036108195
"31","2022-2",5,2507,72,11,10,17.9,33.5166666666667,11,227.909090909091,12.7323514474352,6.79987342344379,9.01191807538703,3.4020842311082,26,0.6672036108195
"32","2022-2",6,2080,73,11,11,18.4833333333333,34.6,11,189.090909090909,10.2303467497336,5.46505517603784,9.01191807538703,3.4020842311082,26,0.6672036108195
"33","2022-2",7,1459,60,10,9,18.7833333333333,34.0833333333333,10,145.9,7.76752440106478,4.28068459657702,9.01191807538703,3.4020842311082,26,0.6672036108195
"34","2022-2",8,1395,55,10,10,19.2,26.8833333333333,10,139.5,7.265625,5.18908865468072,9.01191807538703,3.4020842311082,26,0.6672036108195
"35","2022-2",9,1374,62,10,10,19.2166666666667,33.1,11,124.909090909091,6.50003942284948,3.77368854710244,9.01191807538703,3.4020842311082,26,0.6672036108195
"36","2022-2",10,1182,62,11,11,19.55,29.9833333333333,11,107.454545454545,5.49639618693327,3.58380918692203,9.01191807538703,3.4020842311082,26,0.6672036108195
"37","2022-2",11,1031,54,10,9,16.2666666666667,29.5166666666667,10,103.1,6.33811475409836,3.49294184076793,9.01191807538703,3.4020842311082,26,0.6672036108195
"38","2022-2",12,582,42,8,8,9.76666666666667,17.95,10,58.2,5.95904436860068,3.24233983286908,9.01191807538703,3.4020842311082,26,0.6672036108195
"39","2022-2",13,1709,59,11,10,14.45,25.75,11,155.363636363636,10.7518087448883,6.03353927625772,9.01191807538703,3.4020842311082,26,0.6672036108195
"40","2022-2",14,1294,61,11,11,17.0666666666667,24.95,11,117.636363636364,6.89275568181818,4.71488431408271,9.01191807538703,3.4020842311082,26,0.6672036108195
"41","2022-2",15,1714,56,10,10,19.2333333333333,35.1057971,10,171.4,8.91161178509532,4.88238451079067,9.01191807538703,3.4020842311082,26,0.6672036108195
"42","2022-2",16,1105,58,10,10,20.3666666666667,37.4166666666667,10,110.5,5.42553191489362,2.9532293986637,9.01191807538703,3.4020842311082,26,0.6672036108195
"43","2022-2",17,2066,64,11,11,19.6833333333333,35.7333333333333,11,187.818181818182,9.54199060888307,5.25610583446404,9.01191807538703,3.4020842311082,26,0.6672036108195
"44","2022-2",18,1676,67,11,11,19,33.5833333333333,11,152.363636363636,8.01913875598086,4.53688247236634,9.01191807538703,3.4020842311082,26,0.6672036108195
"45","2022-2",19,1025,52,10,9,16.7,30.3224637666667,10,102.5,6.1377245508982,3.38033217843854,9.01191807538703,3.4020842311082,26,0.6672036108195
"46","2022-2",20,1380,49,9,10,17.7166666666667,32.3557971,10,138,7.7892756349953,4.26507804995476,9.01191807538703,3.4020842311082,26,0.6672036108195
"47","2022-2",21,1600,68,11,11,19.9833333333333,35.3666666666667,11,145.454545454545,7.27879293350519,4.11275811841316,9.01191807538703,3.4020842311082,26,0.6672036108195
"48","2022-2",22,1665,69,11,10,20.3,37.3282608666667,11,151.363636363636,7.45633676668159,4.05493405932557,9.01191807538703,3.4020842311082,26,0.6672036108195
"49","2022-2",23,2254,54,10,9,16.2333333333333,30.2166666666667,10,225.4,13.8850102669405,7.45945945945946,9.01191807538703,3.4020842311082,26,0.6672036108195
"50","2022-2",24,2060,54,10,10,21.2833333333333,26.2166666666667,10,206,9.67893500391543,7.85759694850604,9.01191807538703,3.4020842311082,26,0.6672036108195
"51","2022-2",25,2985,71,11,11,18.9,30.9557971,11,271.363636363636,14.3578643578644,8.76616536434258,9.01191807538703,3.4020842311082,26,0.6672036108195
"52","2022-2",26,1731,65,11,11,13.25,24.4333333333333,11,157.363636363636,11.8765008576329,6.44053081979412,9.01191807538703,3.4020842311082,26,0.6672036108195
